ID	LABEL	SUBSET	CONTRIBUTOR	COMMENT
MONDO:0043797	spinal cord injury	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0003544	spinal cord cancer	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0009453	immune deficiency disease	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0020779	cartilage development disorder	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0009327	heart, malformation of	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0006773	gonadal tissue neoplasm	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0003111	gastric neuroendocrine neoplasm	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0002101	facial nerve neoplasm	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0000744	lung abscess	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0800492	variable-age onset focal epilepsy syndrome	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0800494	variable-age onset combined generalized and focal epilepsy syndrome	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0800495	variable-age epilepsy syndrome with developmental and/or epileptic encephalopathy or progressive neurological deterioration	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0800488	neonatal/infantile-onset self-limited epilepsy syndrome	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0800490	neonatal/infantile-onset epilepsy syndrome with developmental and epileptic encephalopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0020561	myxoid/round cell liposarcoma	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0800496	epilepsy with auditory features	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0009068	cytochrome-c oxidase deficiency disease	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0800502	childhood-onset self-limited focal epilepsy syndrome	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0800499	childhood-onset idiopathic generalized epilepsy syndrome	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0800498	childhood-onset genetic generalized epilepsy syndrome	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0800500	childhood-onset epilepsy syndrome with developmental and/or epileptic encephalopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1010098	TFAP2B-related congenital heart disease spectrum disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0024632	defective phagocytic cell opsonization	obo:mondo#matrix_excluded|obo:mondo#pathway_defect	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/51
MONDO:0024630	defective phagocytic cell chemotaxis	obo:mondo#matrix_excluded|obo:mondo#pathway_defect	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/51
MONDO:0009472	acetylation, slow	obo:mondo#matrix_excluded|obo:mondo#pathway_defect	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/51
MONDO:0001962	abnormality of glucagon secretion	obo:mondo#matrix_excluded|obo:mondo#pathway_defect	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/51
MONDO:0012207	umbilicus, familial flat	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0010769	hairy ears, Y-linked	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0007694	hairy nose tip	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0007695	hairy palms and soles	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0010757	widow's peak syndrome	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0008580	toes, space between first and second	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0006777	hairy tongue	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0003653	stork bite	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0006778	halo nevus	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0044796	spindle cell nevus	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0008094	familial multiple nevi flammei	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0008615	tune deafness	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/49
MONDO:0004059	dentin sensitivity	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0007444	dermal Ridges, patternless	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0007245	cafe au lait spots, multiple	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0001953	pyuria	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0007033	abducens nerve palsy	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0001544	tibial nerve palsy	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0001329	accommodative spasm	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0017476	upper limb hypertrophy	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0001396	abnormal threshold of rods	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0001565	abnormal retinal correspondence	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0007426	deafness, unilateral	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0013335	tuberculin skin test reactivity, absence of	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0016666	unexplained long-lasting fever/inflammatory syndrome	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0008100	nipples inverted	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/47
MONDO:0001805	female breast central part cancer	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0001850	female breast lower-outer quadrant cancer	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0004878	female breast upper-outer quadrant cancer	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0002069	female breast axillary tail cancer	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0002068	female breast lower-inner quadrant cancer	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0001401	female breast nipple and areola cancer	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0002067	female breast upper-inner quadrant cancer	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0024312	cancer of short bone of upper limb	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0000953	cancer of short bone of lower limb	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0100085	cancer of long bone of upper limb	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0004792	cancer of isthmus of fallopian tube	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0004621	upper lip cancer	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0001372	bladder neck cancer	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0001319	bladder lateral wall cancer	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0003289	deep leiomyoma	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0004272	urinary bladder tuberculosis	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0005903	pericardial tuberculosis	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0006042	meningeal tuberculosis	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0003675	posterolateral myocardial infarction	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0003671	septal myocardial infarction	obo:mondo#matrix_excluded|obo:mondo#anatomical_subtype	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-1149-7767	https://github.com/everycure-org/matrix-disease-list/issues/44
MONDO:0001475	neutropenia	obo:mondo#matrix_excluded|obo:mondo#trait|obo:mondo#phenotype|obo:mondo#clinical_finding	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-4142-7153	https://github.com/everycure-org/matrix-disease-list/pull/58
